domain,type,original_reference
*fyqydogivoxed.com,attackpage,safebrowsing.google.com
*img.securesoft.info,attackpage,safebrowsing.google.com
*install.securesoft.info,attackpage,safebrowsing.google.com
*mpif.eu,attackpage,safebrowsing.google.com
*interstitial.powered-by.securesoft.info,attackpage,safebrowsing.google.com
*barbaros.com,malicious,app.webinspector.com/
*bor-bogdanych.com,attackpage,safebrowsing.google.com
*cn-lushan.com,malicious,app.webinspector.com/
*dacdac.com,malicious,app.webinspector.com/
*kalinston.com,malicious,app.webinspector.com/
*cheminfos.com,attackpage,safebrowsing.google.com
*commissioncrusher.com,attackpage,safebrowsing.google.com
*demodomain.cz,blacklisted,killmalware.com/
*first-ware.com,blacklisted,killmalware.com/
*nycsoaw.org,attackpage,safebrowsing.google.com
*tvandsportstreams.com,attackpage,tvandsportstreams.com
*appimmobilier.com,attackpage,safebrowsing.google.com/
*banner.ringofon.com,attackpage,safebrowsing.google.com/
*minager.com,attackpage,safebrowsing.google.com/
*sharfiles.com,attackpage,safebrowsing.google.com/
*techlivegen.com,attackpage,safebrowsing.google.com/
*308888.com,malicious,www.mwsl.org.cn/
*pcbangv.com,attackpage,safebrowsing.google.com
*animeonline.net,attackpage,safebrowsing.clients.google.com
*zzha.net,attackpage,safebrowsing.clients.google.com
*chupiao365.com,attackpage,safebrowsing.clients.google.com
*divecatalina.com,attackpage,safebrowsing.clients.google.com
*ewubo.net,attackpage,safebrowsing.clients.google.com
*huaqiaomaicai.com,attackpage,safebrowsing.clients.google.com
*sympation.com,attackpage,safebrowsing.clients.google.com
*upgradenow24.com,malvertising,www.malwaredomains.com
*wangxiaorong.com,attackpage,safebrowsing.clients.google.com
*apphay.me,attackpage,www.google.com/safebrowsing
*otdacham.ru,malicious,www.webroot.com/
*nminmobiliaria.com,malicious,app.webinspector.com/recent_detections
*proxysite.org,attackpage,safebrowsing.google.com/safebrowsing
*rockleadesign.com,malicious,app.webinspector.com/
*www.v3club.net,malicious,www.mwsl.org.cn/
*www.ydhyjy.com,malicious,www.mwsl.org.cn/
*www.tourindia.in,malicious,app.webinspector.com/
*www.yidongguanye.com,malicious,app.webinspector.com/
*neilowen.org,malicious,killmalware.com/
*www.p3322.com,malicious,www.mwsl.org.cn/
*onfreesoftware.com,malvertising,www.malwaredomains.com
*senrima.ru,attackpage,www.google.com/safebrowsing
*oldicbrnevents.com,malicious,app.webinspector.com
*sykazt.com.cn,malicious,www.mwsl.org.cn/
*zhizhishe.com,malicious,www.mwsl.org.cn/
*nba1001.net,attackpage,google.com/safebrowsing
*school-bgd.ru,malicious,www.nictasoft.com/ace/
*nainasdesigner.com,attackpage,safebrowsing.clients.google.com/
*rvwsculpture.com,attackpage,safebrowsing.clients.google.com/
*newware10.craa-club.com,malicious,www.mwsl.org.cn/
*rlxl.com,attackpage,safebrowsing.google.com
*shenke.com.cn,attackpage,safebrowsing.google.com
*wan4399.com,attackpage,safebrowsing.google.com
*www.barbiemobi.cn,malicious,www.mwsl.org.cn/
*www.hryspap.cn,malicious,www.mwsl.org.cn/
*thomashobbs.com,malicious,safebrowsing.clients.google.com
*39m.net,attackpage,safebrowsing.clients.google.com
*888888kk.com,malicious,www.mwsl.org.cn/
*prod-abc.ro,attackpage,safebrowsing.clients.google.com/
*soundfyles.eloyed.com,attackpage,safebrowsing.clients.google.com
*029999.com,malicious,www.nictasoft.com/
*aricimpastanesi.com,attackpage,www.google.com/safebrowsing
*720movies.net,attackpage,safebrowsing.clients.google.com
*ccycny.com,attackpage,safebrowsing.clients.google.com
*d.srui.cn,attackpage,safebrowsing.clients.google.com
*dancecourt.com,attackpage,safebrowsing.clients.google.com
*deposito.traffic-advance.net,attackpage,safebrowsing.clients.google.com
*errordoctor.com,attackpage,safebrowsing.clients.google.com
*themodules.ru,attackpage,safebrowsing.clients.google.com
*e2bworld.com,attackpage,safebrowsing.clients.google.com
*lpcloudsvr302.com,attackpage,safebrowsing.clients.google.com
*gerhard-schudok.de,attackpage,safebrowsing.google.com
*tracking.checkmygirlfriend.net,malicious,www.virustotal.com
*freemasstraffic.com,attackpage,www.google.com.ph/safebrowsing
*gaagle.name,attackpage,www.google.com.ph/safebrowsing
*genih-i-nevesta.ru,attackpage,www.google.com.ph/safebrowsing
*ifindwholesale.com,attackpage,www.google.com.ph/safebrowsing
*innatek.com,attackpage,www.google.com.ph/safebrowsing
*losalseehijos.es,attackpage,www.google.com.ph/safebrowsing
*offended.feenode.net,attackpage,www.google.com.ph/safebrowsing
*powershopnet.net,attackpage,www.google.com.ph/safebrowsing
*redhotdirectory.com,attackpage,www.google.com.ph/safebrowsing
*ttb.lpcloudsvr302.com,attackpage,www.google.com.ph/safebrowsing
*uxtop.ru,attackpage,www.google.com.ph/safebrowsing
*aiwoxin.com,attackpage,www.google.com/safebrowsing
*aquapuremultiservicios.es,malicious,app.webinspector.com/
*jxy88.com,attackpage,www.google.com/safebrowsing
*karaszkiewicz.neostrada.pl,malicious,app.webinspector.com/
*kuaiyan.com.cn,attackpage,www.google.com/safebrowsing
*snkforklift.com,attackpage,www.google.com/safebrowsing
*0377.wang,malicious,www.mwsl.org.cn/
*137311.com,malicious,www.mwsl.org.cn/
*13903825045.com,malicious,www.mwsl.org.cn/
*314151.com,malicious,www.mwsl.org.cn/
*cdn1.mysearchresults.com,malware,www.virustotal.com
*www.2003xx.com,malicious,www.mwsl.org.cn/
*www3.32hy.com,malicious,www.mwsl.org.cn/
*ad.words-google.com,attackpage,safebrowsing.clients.google.com
*konto1.cal24.pl,attackpage,safebrowsing.clients.google.com
